Unit,Cycle,OpSet1,OpSet2,OpSet3,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Label_RUL_30,Source
235,169,35.0027,0.84,100.0,449.44,556.27,1375.88,1135.71,5.48,8.0,194.26,2222.85,8347.8,1.02,42.35,182.42,2387.9,8056.18,9.3962,0.02,336,2223,100.0,14.74,8.7834,1,Resampled
246,172,42.0018,0.84,100.0,445.0,550.11,1358.72,1132.08,3.91,5.72,138.75,2212.16,8348.9,1.02,42.41,130.44,2388.25,8096.67,9.4765,0.02,333,2212,100.0,10.48,6.3789,1,Resampled
28,193,42.0053,0.8407,100.0,445.0,550.28,1363.11,1146.61,3.91,5.72,137.74,2211.4,8306.8,1.02,42.7,129.71,2387.48,8065.18,9.5013,0.02,333,2212,100.0,10.42,6.2724,1,Resampled
174,190,25.0011,0.62,60.0,462.54,537.41,1271.13,1062.48,7.05,9.03,174.69,1916.38,8067.96,0.94,37.22,164.65,2029.31,7923.2,10.994,0.02,308,1915,84.93,14.25,8.5035,1,Resampled
169,173,41.9989,0.84,100.0,445.0,550.07,1352.17,1134.79,3.91,5.72,138.26,2212.46,8359.82,1.02,42.59,130.55,2388.62,8116.05,9.4011,0.02,334,2212,100.0,10.45,6.2873,1,Resampled
168,201,9.9989,0.2512,100.0,489.05,605.56,1506.98,1328.85,10.52,15.5,393.24,2319.08,8797.98,1.26,45.74,370.98,2388.33,8142.7,8.6775,0.03,372,2319,100.0,28.18,17.0436,1,Resampled
122,176,42.0037,0.8406,100.0,445.0,550.47,1362.77,1134.04,3.91,5.72,138.02,2211.89,8331.86,1.02,42.52,129.8,2388.02,8088.6,9.4435,0.02,334,2212,100.0,10.55,6.3354,1,Resampled
100,205,41.9996,0.841,100.0,445.0,550.15,1362.02,1141.24,3.91,5.72,138.51,2212.17,8346.07,1.02,42.74,130.37,2388.3,8100.33,9.4458,0.02,334,2212,100.0,10.35,6.3305,1,Resampled
185,162,35.0029,0.84,100.0,449.44,556.32,1376.5,1138.91,5.48,8.0,194.35,2222.92,8347.63,1.02,42.65,182.41,2388.05,8061.95,9.4078,0.02,338,2223,100.0,14.49,8.8203,1,Resampled
203,242,35.0008,0.841,100.0,449.44,556.35,1372.42,1137.27,5.48,8.0,193.71,2222.83,8342.55,1.02,42.45,182.41,2387.91,8061.95,9.4009,0.02,336,2223,100.0,14.81,8.8371,1,Resampled
16,125,42.0067,0.8406,100.0,445.0,549.41,1350.46,1129.04,3.91,5.71,137.99,2211.74,8318.35,1.02,42.19,130.19,2387.86,8078.82,9.4474,0.02,331,2212,100.0,10.49,6.3202,1,Resampled
173,123,10.0071,0.25,100.0,489.05,605.52,1509.37,1318.57,10.52,15.49,394.79,2319.0,8775.69,1.26,45.56,370.88,2388.2,8115.85,8.6708,0.03,370,2319,100.0,28.31,17.0993,1,Resampled
143,160,42.0001,0.84,100.0,445.0,550.6,1361.46,1141.37,3.91,5.71,138.98,2211.44,8311.84,1.02,42.71,129.9,2387.47,8062.78,9.4453,0.02,331,2212,100.0,10.53,6.2992,1,Resampled
180,296,42.0058,0.8405,100.0,445.0,550.65,1364.13,1143.75,3.91,5.72,138.72,2213.85,8449.76,1.03,42.47,130.4,2390.02,8195.77,9.4212,0.02,335,2212,100.0,10.42,6.3029,1,Resampled
202,167,42.0027,0.8418,100.0,445.0,550.7,1363.38,1145.23,3.91,5.72,138.29,2212.05,8333.57,1.02,42.6,130.31,2388.05,8096.1,9.4019,0.02,333,2212,100.0,10.59,6.2102,1,Resampled
112,351,10.0013,0.2501,100.0,489.05,605.54,1507.85,1324.05,10.52,15.5,393.31,2319.08,8820.21,1.26,45.75,370.78,2388.33,8157.5,8.7407,0.03,371,2319,100.0,28.32,16.9982,1,Resampled
103,259,10.0019,0.2514,100.0,489.05,605.61,1511.36,1322.38,10.52,15.5,394.06,2319.07,8785.75,1.26,45.82,370.8,2388.31,8124.3,8.7039,0.03,371,2319,100.0,28.31,16.9492,1,Resampled
95,173,42.0043,0.8417,100.0,445.0,550.28,1356.17,1134.96,3.91,5.72,138.35,2212.95,8386.77,1.02,42.4,130.96,2389.01,8140.26,9.366,0.02,332,2212,100.0,10.55,6.3725,1,Resampled
253,138,25.0021,0.6215,60.0,462.54,537.76,1266.54,1064.04,7.05,9.03,175.02,1915.17,8009.7,0.94,37.27,164.19,2028.08,7869.7,11.0016,0.02,310,1915,84.93,14.21,8.496,1,Resampled
5,130,35.0043,0.84,100.0,449.44,556.24,1367.6,1138.11,5.48,8.0,194.4,2223.55,8380.74,1.02,42.22,182.49,2388.67,8097.68,9.3152,0.02,335,2223,100.0,14.74,8.9278,1,Resampled
55,140,20.0069,0.7009,100.0,491.19,608.37,1478.29,1253.95,9.35,13.66,334.27,2324.23,8757.39,1.08,44.57,314.6,2388.32,8089.43,9.2231,0.03,366,2324,100.0,24.43,14.6117,1,Resampled
242,248,10.0034,0.25,100.0,489.05,605.43,1510.43,1318.39,10.52,15.5,393.82,2319.06,8853.58,1.26,45.62,371.32,2388.27,8196.96,8.7133,0.03,372,2319,100.0,28.33,17.0877,1,Resampled
25,200,42.0072,0.84,100.0,445.0,550.75,1359.47,1145.83,3.91,5.72,137.22,2211.77,8323.12,1.02,42.63,130.75,2387.81,8082.93,9.4792,0.02,332,2212,100.0,10.42,6.2051,1,Resampled
78,135,0.0018,0.0,100.0,518.67,642.84,1601.54,1421.22,14.62,21.61,552.88,2388.1,9072.09,1.3,47.91,520.27,2388.15,8153.05,8.4705,0.03,394,2388,100.0,38.8,23.0793,1,Resampled
182,170,10.0017,0.25,100.0,489.05,605.29,1504.17,1317.89,10.52,15.5,393.24,2319.08,8778.69,1.26,45.67,371.24,2388.2,8125.71,8.6952,0.03,370,2319,100.0,28.45,17.0674,1,Resampled
