unit,cycle,label,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
1,15,1,0.08556803,0.595105,0.5608743,0.09858077,0.70405936,0.10499842,0.10149739,0.0,0.10897313,0.7189821,0.09449233,0.092001066,0.6257697,0.0,0.07933744,0.7566055,0.07822787,0.60989594,0.66392994,0.12213479,0.07345139,0.7278024,0.120350964,0.67492706,0.66635126,0.08027889,0.7303431,0.5818044,0.58069116,0.14911179,0.0619112,0.12854037,0.084254615,0.44388866,0.10476582,0.616032,0.6098928,0.0,0.13541642,0.11093307,0.0780936,0.62752527,0.0,0.08357992,0.66025,0.1517464,0.0,0.116606794,0.60716945,0.07598276,0.08333459,0.09356279,0.6544726,0.695552,0.10975185,0.0,0.0504398,0.06581681,0.09828214,0.0885161,0.13474117,0.056025274,0.10502179,0.63259333
1,16,1,0.077186994,0.61386913,0.57757795,0.08700688,0.73185265,0.097004205,0.08782467,0.0,0.098387666,0.73999655,0.08150781,0.0793451,0.6398997,0.0,0.07009891,0.77816933,0.07200145,0.6304881,0.6884116,0.10238847,0.06265881,0.7527977,0.108957656,0.6901839,0.695059,0.071587965,0.7576707,0.60387456,0.59811985,0.13584563,0.05463134,0.112601385,0.07727036,0.4644028,0.094428405,0.62973475,0.62495935,0.0,0.1173755,0.092122294,0.067836426,0.6407201,0.0,0.07655392,0.69018537,0.14221127,0.0,0.10806576,0.6308835,0.064404786,0.074595585,0.07833071,0.6785891,0.71506476,0.09389801,0.0,0.043126907,0.06117259,0.087722376,0.07889347,0.12366055,0.0486012,0.09441171,0.65691537
1,17,1,0.07395767,0.6280317,0.5959151,0.07944608,0.7553106,0.10159823,0.076585025,0.0,0.09317819,0.7555119,0.07354148,0.074694715,0.6569751,0.0,0.0787091,0.7935009,0.076781586,0.6497394,0.71283996,0.09514271,0.061701845,0.7727368,0.10656465,0.70481455,0.7265103,0.06483274,0.77822864,0.62156457,0.6134177,0.12940837,0.057919495,0.10243869,0.07041404,0.48231918,0.092263125,0.6442964,0.6415991,0.0,0.10167734,0.080550596,0.061946433,0.6471492,0.0,0.080065094,0.7147716,0.14043258,0.0,0.09753512,0.6528345,0.06247524,0.072263114,0.07085183,0.7040166,0.7313316,0.0879294,0.0,0.03969377,0.056635924,0.08647046,0.077105656,0.1199254,0.04822807,0.09690111,0.67679656
1,18,1,0.090098225,0.6267403,0.5990174,0.100359276,0.75298524,0.11858966,0.089460835,0.0,0.113157146,0.75424767,0.08228136,0.093668915,0.65648484,0.0,0.094495125,0.79301167,0.10411429,0.6554225,0.71220326,0.12176446,0.07641314,0.77613515,0.11901827,0.699426,0.7267938,0.0877221,0.78539723,0.612262,0.6147388,0.13694112,0.076896414,0.11415527,0.09005489,0.4716356,0.109387346,0.6470408,0.6438465,0.0,0.12903519,0.101292536,0.07939814,0.6397892,0.0,0.09900052,0.6986037,0.16388306,0.0,0.104486294,0.65191203,0.08250705,0.09472297,0.09378999,0.7076097,0.7327271,0.10730712,0.0,0.060532972,0.07612003,0.104737915,0.10639241,0.12921554,0.06939357,0.12070007,0.67681044
1,19,1,0.081788786,0.61698985,0.59633046,0.09094425,0.74261624,0.10280502,0.08786253,0.0,0.10334707,0.7515613,0.08226049,0.09084627,0.64614856,0.0,0.08340616,0.7844598,0.09276113,0.6510261,0.7094541,0.11277621,0.07276974,0.76365167,0.11821284,0.70408124,0.7226268,0.073097445,0.77996266,0.61411065,0.6099873,0.14047952,0.061425276,0.11617069,0.08433373,0.46917,0.10062648,0.6463539,0.6307215,0.0,0.12115676,0.10135909,0.07185312,0.6521446,0.0,0.087215744,0.6964308,0.15239167,0.0,0.10559976,0.65193325,0.0745848,0.085061744,0.088629626,0.6955705,0.73631155,0.10371045,0.0,0.04460206,0.06574388,0.09674031,0.09420442,0.12459488,0.06162269,0.103902094,0.66693234
1,20,1,0.1100099,0.5919063,0.57115245,0.11570832,0.70401365,0.13177925,0.11035521,0.0,0.13709447,0.70643836,0.10956134,0.10845466,0.62026775,0.0,0.110269904,0.7543718,0.108231254,0.6168377,0.6730137,0.1374857,0.101053506,0.7283787,0.1453481,0.6661856,0.68620837,0.09310613,0.74176043,0.5823434,0.581662,0.17645818,0.089967266,0.14699712,0.1058163,0.44718102,0.1307837,0.61629146,0.6052112,0.0,0.14473563,0.13536762,0.09578399,0.62185836,0.0,0.11094399,0.66082627,0.18526337,0.0,0.13171509,0.6199882,0.10705582,0.10718921,0.11661036,0.6608419,0.7031276,0.124939,0.0,0.0721838,0.08776964,0.126235,0.119525105,0.15121143,0.09292876,0.13448182,0.6319435
2,15,1,0.15150243,0.66132826,0.6044019,0.153313,0.7496307,0.1949649,0.13011347,0.0,0.15154947,0.733804,0.12522142,0.14626949,0.66469127,0.0,0.18860695,0.76728404,0.19326143,0.72723955,0.7874906,0.14292847,0.17371327,0.7810906,0.16314004,0.7028429,0.8285542,0.15172617,0.8213182,0.71456724,0.64049536,0.20337568,0.18010466,0.15612762,0.14698802,0.56276286,0.18849692,0.69634414,0.64988744,0.0,0.15704079,0.16730073,0.15541199,0.64126426,0.0,0.17870027,0.7203385,0.22886649,0.0,0.17644644,0.7013292,0.14935817,0.13934244,0.1312596,0.73648655,0.7849623,0.12148037,0.0,0.16238761,0.13899596,0.15946451,0.16360417,0.16985708,0.21433908,0.19361533,0.6948153
2,16,1,0.16038026,0.6501369,0.5823215,0.1612145,0.7224394,0.20623918,0.13346142,0.0,0.1607391,0.70712626,0.13688594,0.1550489,0.64460915,0.0,0.19283833,0.74561256,0.19034213,0.70207506,0.7554883,0.1536922,0.18066205,0.75234234,0.17278792,0.67524296,0.79296243,0.163815,0.7859828,0.68805397,0.6192776,0.21611461,0.18929504,0.16467594,0.158485,0.5434913,0.19679147,0.6697905,0.63113904,0.0,0.16581498,0.1776236,0.16656922,0.6171394,0.0,0.19087127,0.69183147,0.24172838,0.0,0.18312266,0.6755951,0.15295346,0.14706041,0.14157745,0.7148329,0.7534287,0.12998462,0.0,0.18168403,0.14810412,0.16680011,0.16890933,0.18173523,0.22742663,0.20314746,0.66985124
2,17,1,0.16161288,0.6426829,0.56932956,0.17064802,0.71677136,0.21063273,0.1408272,0.0,0.16357364,0.7062782,0.13683876,0.16393065,0.6346168,0.0,0.18977365,0.7382576,0.1961464,0.69394046,0.7446392,0.15497388,0.17575811,0.74779755,0.17368606,0.6653497,0.78309524,0.1773881,0.7808169,0.6824365,0.61240506,0.2059805,0.19041102,0.1548992,0.16290951,0.5418526,0.19755843,0.65837437,0.6246127,0.0,0.16996498,0.16889593,0.17565313,0.60676736,0.0,0.19504432,0.6931693,0.2312672,0.0,0.18805033,0.6719453,0.14822747,0.15046223,0.1426003,0.7141172,0.73412853,0.13557138,0.0,0.19176297,0.15737875,0.16502462,0.17075849,0.1849737,0.21845412,0.19714212,0.6664998
2,18,1,0.18274912,0.6293242,0.55681235,0.18232518,0.6848121,0.2191751,0.15536407,0.0,0.19192944,0.6738834,0.15529585,0.17254905,0.61924136,0.0,0.21054932,0.7170454,0.2061293,0.6744707,0.7175383,0.17754796,0.19580585,0.7266073,0.18959832,0.64774215,0.75852203,0.19022188,0.75103927,0.6527925,0.59723705,0.23159702,0.20979914,0.1770038,0.16771169,0.5188152,0.21074833,0.6504832,0.6083587,0.0,0.19045736,0.1952501,0.18225604,0.590211,0.0,0.20273641,0.66110283,0.25521025,0.0,0.19586816,0.64828277,0.17521219,0.15515248,0.16539243,0.69239026,0.7188849,0.15257171,0.0,0.20710616,0.1625727,0.17710558,0.1839887,0.19707187,0.24481033,0.21171045,0.63399607
